statusId|sensorName|[value-x,value-y,value-z]|timestamp
218|K6DS3TR Accelerometer|[0.23463176,-0.6572084,9.983821]|1566265862358
218|Samsung Linear Acceleration Sensor|[0.0047263354,-0.013239861,0.20103836]|1566265862358
218|K6DS3TR Gyroscope|[-0.007208213,7.574707E-4,-0.02579073]|1566265862367
218|K6DS3TR Accelerometer|[0.23582886,-0.41180268,10.170568]|1566265862369
218|Samsung Linear Acceleration Sensor|[0.008685723,-0.0151923,0.37457466]|1566265862369
218|K6DS3TR Gyroscope|[0.0013439022,-0.015125027,-0.03495371]|1566265862376
218|K6DS3TR Accelerometer|[0.30885202,-0.1376666,9.911995]|1566265862378
218|Samsung Linear Acceleration Sensor|[0.003456086,-0.0015559942,0.11104584]|1566265862378
218|K6DS3TR Gyroscope|[0.0025656316,-0.0035185888,-0.030066786]|1566265862386
218|K6DS3TR Accelerometer|[0.17836803,-0.34715924,10.135853]|1566265862388
218|Samsung Linear Acceleration Sensor|[0.0059158057,-0.011531919,0.33646488]|1566265862389
218|K6DS3TR Gyroscope|[-0.009040806,-0.010848969,-0.02334727]|1566265862397
218|K6DS3TR Accelerometer|[0.35553896,-0.2633622,9.992201]|1566265862399
218|Samsung Linear Acceleration Sensor|[0.18163341,0.07296443,0.19286346]|1566265862399
218|K6DS3TR Gyroscope|[0.0050090924,0.0038117953,-0.02579073]|1566265862406
218|K6DS3TR Accelerometer|[0.23104046,-0.24540567,10.036493]|1566265862408
218|Samsung Linear Acceleration Sensor|[0.057052776,0.090076,0.2371273]|1566265862408
218|K6DS3TR Gyroscope|[-0.005986482,-0.0059620477,-0.03495371]|1566265862416
218|K6DS3TR Accelerometer|[0.22744916,0.03232172,9.8677025]|1566265862419
